variant,sensing,noise_pct,test_cv_rmse_mean,test_cv_rmse_std,test_cv_rmse_count,err_R_s_mean,err_R_s_std,err_R_s_count,err_G_s_mean,err_G_s_std,err_G_s_count,err_R_inf_mean,err_R_inf_std,err_R_inf_count,err_G_inf_mean,err_G_inf_std,err_G_inf_count,ident_mean_err_mean,ident_mean_err_std,ident_mean_err_count,err_R_zw_mean,err_R_zw_std,err_R_zw_count,err_R_wo_mean,err_R_wo_std,err_R_wo_count
V1_blackbox,S1,0,9.84288,0.9617187463078793,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S1,5,12.35378,0.917127977438263,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S1,10,15.941939999999999,1.1034770740708657,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S2,0,9.84288,0.9617187463078793,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S2,5,12.35378,0.917127977438263,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S2,10,15.941939999999999,1.1034770740708657,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S3,0,9.84288,0.9617187463078793,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S3,5,12.35378,0.917127977438263,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V1_blackbox,S3,10,15.941939999999999,1.1034770740708657,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S1,0,5.35058,0.07862599442932362,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S1,5,7.9073400000000005,0.3070009576532297,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S1,10,13.02612,0.8069954504208814,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S2,0,5.35058,0.07862599442932362,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
V2_soft_physics,S2,5,7.9073400000000005,0.3070009576532297,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0
