variant,sensing,noise_pct,seed,epochs,train_time_s,test_cv_rmse,test_nmbe,test_r2,test_mae_kW,test_n,train_cv_rmse,train_nmbe,train_r2,train_mae_kW,train_n,err_C_z,err_C_w,err_R_zw,err_R_wo,err_R_inf,rec_C_z,rec_C_w,rec_R_zw,rec_R_wo,rec_R_inf,rec_R_s,err_R_s,err_G_s,err_G_inf
V1_blackbox,S1,0,0,600,5.0,10.8266,8.8983,0.9679,5.6538,429,5.7561,0.0042,0.9888,2.8442,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,0,0,600,6.7,5.4305,1.6755,0.9919,2.5162,429,5.2742,0.0815,0.9906,2.5136,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,0,0,600,3.0,31.1183,-20.5256,0.7344,16.7537,429,28.9475,-12.7337,0.7172,17.1115,1711,60.0,60.0,46.1,46.1,48.19,56000000.0,320000000.0,0.0006574392318725,0.0040907324291765,0.0001813270791899,0.004748171661048999,46.09758957073844,31.552601043029956,93.02136314314774
V4_neural_forcing,S1,0,0,600,7.1,7.6359,4.9358,0.984,3.8214,429,6.134,-0.656,0.9873,2.9818,1711,0.0,0.0,146.81,141.53,128.05,35000000.0,200000000.0,0.0011106557212769,0.0067628268152475,0.0007981769740581,0.0078734825365244,142.26100112382773,58.72220475598272,56.15007556275068
V4F_fixed_Qint,S1,0,0,600,3.5,22.0334,-13.1924,0.8669,11.626,429,19.6114,-10.2463,0.8702,11.9567,1711,0.0,0.0,149.54,107.96,33.12,35000000.0,200000000.0,0.0011229191441088,0.005822904407978,0.0002340806095162,0.0069458235520868,113.71764775651694,53.2092922368641,49.521141765387256
V5_wrong_constraints,S1,0,0,600,6.0,298.0092,200.0662,-23.3576,135.5906,429,352.2139,266.6913,-40.8629,193.8113,1711,60.0,60.0,226.91,226.91,93.43,14000000.0,320000000.0,0.0014711102703586,0.0091535812243819,2.299450534337666e-05,0.010624691494740499,226.91358445355382,69.41087652654352,1422.102757913051
V1_blackbox,S1,5,0,600,4.8,12.8554,9.7421,0.9547,6.4898,429,7.8712,0.0112,0.9795,3.9696,1711,,,,,,,,,,,,,,
V2_soft_physics,S1,5,0,600,6.7,7.8882,2.224,0.9829,3.5186,429,7.5677,0.0987,0.9811,3.7516,1711,,,,,,,,,,,,,,
V3_hard_arch,S1,5,0,600,2.9,31.8502,-20.1181,0.7216,17.0041,429,29.6046,-12.6632,0.7105,17.6665,1711,60.0,60.0,44.54,44.54,48.41,56000000.0,320000000.0,0.0006504281773231,0.0040471036918461,0.0001805638457881,0.0046975318691692,44.53944212828308,30.81473227823377,93.83725378265432
V4_neural_forcing,S1,5,0,600,7.0,9.7849,5.5178,0.9737,4.7374,429,8.2459,-0.7496,0.9775,4.0993,1711,0.0,0.0,144.63,138.64,125.62,35000000.0,200000000.0,0.0011008554138243,0.0066820145584642,0.0007896590977907,0.0077828699722885,139.47292222426154,58.24162536992302,55.67707622450925
